id,name,tel,address,hospital_type,postal_code,area_code,created_at,updated_at
2,โรงพยาบาลส่งเสริมสุขภาพตำบลพังช้างตาย,074485316,จ.สงขลา อ.สทิงพระ ต.บ่อแดง หมู่ 4,โรงพยาบาลส่งเสริมสุขภาพตำบล,90190,90021004,2017-03-01 07:41:48.569955,2017-03-01 07:41:48.569955
3,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปางมะโอ ตำบลบ่อแก้ว,"",จ.เชียงใหม่ อ.สะเมิง ต.บ่อแก้ว หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,,50080401,2017-03-01 07:41:48.573556,2017-03-01 07:41:48.573556
4,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปาตาบูดี,0864803906,จ.ปัตตานี อ.ยะหริ่ง ต.แหลมโพธิ์ หมู่ 3,โรงพยาบาลส่งเสริมสุขภาพตำบล,94150,94091803,2017-03-01 07:41:48.57726,2017-03-01 07:41:48.57726
5,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบาโงยือแบ็ง,073494085,จ.ปัตตานี อ.กะพ้อ ต.กะรุบี หมู่ 5,โรงพยาบาลส่งเสริมสุขภาพตำบล,94230,94110105,2017-03-01 07:41:48.580841,2017-03-01 07:41:48.580841
6,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านต้นโหนด,0864836908,จ.ปัตตานี อ.แม่ลาน ต.ป่าไร่ หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,94180,94120301,2017-03-01 07:41:48.584774,2017-03-01 07:41:48.584774
7,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงดินแดง ตำบลดงดินแดง,036-425540,จ.ลพบุรี อ.หนองม่วง ต.ดงดินแดง หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,15170,16110301,2017-03-01 07:41:48.58933,2017-03-01 07:41:48.58933
8,คลินิกแพทย์ปรีดาวดี,074312433,จ.สงขลา อ.เมืองสงขลา ต.เขารูปช้าง หมู่ 2,คลินิกเอกชน,90000,90010202,2017-03-01 07:41:48.593498,2017-03-01 07:41:48.593498
9,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลานสอ ตำบลวังประจบ,055576136,จ.ตาก อ.เมืองตาก ต.วังประจบ หมู่ 4,โรงพยาบาลส่งเสริมสุขภาพตำบล,63000,63011404,2017-03-01 07:41:48.597243,2017-03-01 07:41:48.597243
10,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่บอน ตำบลตากออก,055587356,จ.ตาก อ.บ้านตาก ต.ตากออก หมู่ 12,โรงพยาบาลส่งเสริมสุขภาพตำบล,63120,63020112,2017-03-01 07:41:48.60164,2017-03-01 07:41:48.60164
11,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่เชียงราย ตำบลยกกระบัตร,"",จ.ตาก อ.สามเงา ต.ยกกระบัตร หมู่ 7,โรงพยาบาลส่งเสริมสุขภาพตำบล,63130,63030307,2017-03-01 07:41:48.608965,2017-03-01 07:41:48.608965
12,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังผา ตำบลแม่จะเรา,"",จ.ตาก อ.แม่ระมาด ต.แม่จะเรา หมู่ 4,โรงพยาบาลส่งเสริมสุขภาพตำบล,63140,63040204,2017-03-01 07:41:48.613345,2017-03-01 07:41:48.613345
13,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่กื๊ดหลวง ตำบลแม่กาษา,055554183,จ.ตาก อ.แม่สอด ต.แม่กาษา หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,63110,63060501,2017-03-01 07:41:48.618999,2017-03-01 07:41:48.618999
14,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านซอโอ ตำบลช่องแคบ,055520006,จ.ตาก อ.พบพระ ต.ช่องแคบ หมู่ 7,โรงพยาบาลส่งเสริมสุขภาพตำบล,63160,63070207,2017-03-01 07:41:48.623151,2017-03-01 07:41:48.623151
15,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสองยาง,"",จ.ตาก อ.ท่าสองยาง ต.ท่าสองยาง หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,63150,63050101,2017-03-01 07:41:48.627038,2017-03-01 07:41:48.627038
16,โรงพยาบาลส่งเสริมสุขภาพตำบลโมโกร,055576342,จ.ตาก อ.อุ้มผาง ต.โมโกร หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,63170,63080301,2017-03-01 07:41:48.630626,2017-03-01 07:41:48.630626
17,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองกก ตำบลโตนด,0805123825,จ.สุโขทัย อ.คีรีมาศ ต.โตนด หมู่ 6,โรงพยาบาลส่งเสริมสุขภาพตำบล,64160,64030106,2017-03-01 07:41:48.636442,2017-03-01 07:41:48.636442
18,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองตาโชติ ตำบลวังทองแดง,055946248,จ.สุโขทัย อ.เมืองสุโขทัย ต.วังทองแดง หมู่ 5,โรงพยาบาลส่งเสริมสุขภาพตำบล,64210,64011005,2017-03-01 07:41:48.643829,2017-03-01 07:41:48.643829
19,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลองสะเกษ ตำบลวังน้ำขาว,0816755129,จ.สุโขทัย อ.บ้านด่านลานหอย ต.วังน้ำขาว หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,64140,64020401,2017-03-01 07:41:48.648254,2017-03-01 07:41:48.648254
20,โรงพยาบาลเชียงคำ,054-409056,จ.พะเยา อ.เชียงคำ ต.หย่วน,โรงพยาบาลทั่วไป,56110,56030100,2017-03-01 07:41:48.652084,2017-03-01 07:41:48.652084
21,โรงพยาบาลส่งเสริมสุขภาพตำบลตาลเตี้ย,055699032,จ.สุโขทัย อ.เมืองสุโขทัย ต.ตาลเตี้ย หมู่ 1,โรงพยาบาลส่งเสริมสุขภาพตำบล,64220,64010801,2017-03-01 07:41:48.656105,2017-03-01 07:41:48.656105
